Date,stateahv,usimm,permits,perms,wage_r,percip,temp,month,ahv
17-Jan,250000,655,134,134,1.288343558,0.84,35.8,1,366000
17-Feb,251000,712,211,211,1.288343558,2.8,40.4,2,369000
17-Mar,253000,733,511,511,1.288343558,2.99,52.6,3,372000
17-Apr,254000,905,392,392,1.288343558,2.33,59.6,4,375000
17-May,255000,981,410,410,1.288343558,0.71,68,5,377000
17-Jun,256000,977,829,829,1.288343558,2.62,64.3,6,379000
17-Jul,257000,872,383,383,1.288343558,0.07,54,7,381000
17-Aug,258000,851,357,357,1.288343558,0.19,41.4,8,383000
17-Sep,259000,898,369,369,1.288343558,0.99,35.4,9,386000
17-Oct,260000,933,466,466,1.288343558,1.28,28.9,10,390000
17-Nov,262000,761,248,248,1.288343558,1.69,33.8,11,394000
17-Dec,263000,597,164,164,1.288343558,2.98,26.6,12,398000
18-Jan,264000,403,138,138,1.325301205,1.17,37,13,402000
18-Feb,265000,419,179,179,1.325301205,2.14,43.6,14,405000
18-Mar,266000,561,295,295,1.325301205,0.42,58.4,15,408000
18-Apr,267000,578,422,422,1.325301205,1.54,59.7,16,410000
18-May,269000,602,380,380,1.325301205,1.78,66.3,17,414000
18-Jun,271000,598,436,436,1.325301205,2.63,65.5,18,418000
18-Jul,273000,563,398,398,1.325301205,0.3,55.5,19,422000
18-Aug,274000,521,339,339,1.325301205,0.22,44.7,20,426000
18-Sep,275000,569,396,396,1.325301205,0.59,37.3,21,428000
18-Oct,276000,596,420,420,1.325301205,1.17,29,22,429000
18-Nov,277000,377,240,240,1.325301205,1.52,25.6,23,430000
18-Dec,278000,382,324,324,1.325301205,0.46,11.3,24,432000
19-Jan,279000,431,280,280,1.294117647,1.37,25.5,25,434000
19-Feb,281000,439.62,134,134,1.294117647,1.79,43.9,26,436000
19-Mar,282000,587,316,316,1.294117647,0.98,53.5,27,439000
19-Apr,283000,566,413,413,1.294117647,1.19,59.4,28,442000
19-May,284000,599,367,367,1.294117647,1.63,63.4,29,445000
19-Jun,285000,543,364,364,1.294117647,1.96,64.8,30,450000
19-Jul,287000,611,319,319,1.294117647,1.12,56.1,31,454000
19-Aug,288000,488,347,347,1.294117647,0.65,37.4,32,456000
19-Sep,290000,497,371,371,1.294117647,2.5,30.8,33,458000
19-Oct,291000,533,268,268,1.294117647,1.12,31.2,34,459000
19-Nov,292000,461,242,242,1.294117647,0.9,28.8,35,461000
19-Dec,293000,427,189,189,1.294117647,0.48,30.4,36,460000
20-Jan,294000,558,299,299,1.271676301,1.59,34.3,37,462000
20-Feb,295000,599.85,273,273,1.271676301,0.61,40.6,38,465000
20-Mar,296000,726,323,323,1.271676301,0.1,50.5,39,470000
20-Apr,297000,713,317,317,1.271676301,1.53,57.8,40,474000
20-May,299000,777,471,471,1.271676301,3.44,63.3,41,477000
20-Jun,301000,821,305,305,1.271676301,5.39,65.5,42,480000
20-Jul,303000,694,462,462,1.271676301,1.22,55.9,43,484000
20-Aug,305000,618,527,527,1.271676301,0.41,41,44,490000
20-Sep,308000,667.44,408,408,1.271676301,0.36,34.1,45,498000
20-Oct,311000,693,353,353,1.271676301,2.73,28.1,46,509000
20-Nov,315000,581,274,274,1.271676301,1.84,29.5,47,519000
20-Dec,319000,529,580,580,1.271676301,0.85,19.7,48,533000
21-Jan,323000,596,241,241,1.257142857,0.77,36.6,49,545000
21-Feb,328000,638,222,222,1.257142857,1.76,42.3,50,558000
21-Mar,333000,765.6,348,348,1.257142857,0.19,52.1,51,571000
